shipment_id,origin,destination,carrier,shipment_date,expected_delivery,actual_delivery,status,priority,delay_hours,reason,shipment_mode,cargo_type,weight_kg,distance_km,weather_condition,customs_status,port_congestion,carrier_performance_score,customer_impact,exception_type
SHP-1001,Delhi,Dubai,Carrier-X,2026-02-27,2026-03-09,2026-03-09,Delivered,Normal,0,On schedule,Road,Pharmaceuticals,443.82,7212,Clear,Cleared,Low,56.4,None,NONE
SHP-1002,Delhi,Frankfurt,FedEx,2026-02-20,2026-02-28,2026-03-03,Delayed,High,77,Carrier delay,Air,Food,1707.85,2847,Rain,Under Review,Medium,64.3,High,DELIVERY_DELAY
SHP-1003,Kolkata,Singapore,DHL,2026-04-02,2026-04-12,2026-04-12,Delayed,High,3,Weather disruption,Rail,Electronics,1472.96,10599,Clear,Cleared,Medium,81.6,Medium,MINOR_DELAY
SHP-1004,Kolkata,Paris,FedEx,2026-06-19,2026-06-22,2026-06-22,Delivered,Normal,0,On schedule,Air,Electronics,4278.04,14496,Clear,Cleared,Low,59.3,None,NONE
SHP-1005,Hyderabad,Sydney,Carrier-X,2026-04-05,2026-04-13,2026-04-14,Delayed,Normal,33,Documentation issue,Road,Pharmaceuticals,1357.04,10785,Extreme Heat,Cleared,Medium,84.6,Medium,DELIVERY_DELAY
SHP-1006,Chennai,Toronto,DHL,2026-01-09,2026-01-12,2026-01-12,Delivered,High,0,On schedule,Sea,Chemicals,1062.8,9592,Clear,Cleared,Low,92.7,None,NONE
SHP-1007,Kolkata,Frankfurt,Carrier-X,2026-06-14,2026-06-19,2026-06-19,Delivered,Normal,0,On schedule,Rail,Automotive,3727.5,9130,Clear,Cleared,Low,66.3,None,NONE
SHP-1008,Pune,Paris,BlueDart,2026-02-05,2026-02-07,2026-02-07,Delivered,Normal,0,On schedule,Road,Pharmaceuticals,4306.9,2804,Clear,Cleared,Low,82.0,None,NONE
SHP-1009,Pune,Paris,DHL,2026-06-02,2026-06-08,2026-06-08,Delayed,Critical,19,Carrier delay,Rail,Automotive,2179.48,7733,Clear,Under Review,Medium,55.1,Low,MINOR_DELAY
SHP-1010,Hyderabad,Amsterdam,FedEx,2026-06-10,2026-06-20,2026-06-20,Delayed,Normal,21,Carrier delay,Air,Chemicals,4593.28,10113,Fog,Under Review,Low,68.9,Low,MINOR_DELAY
